x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,pH
1,18,3629.63212606453,117.565152931049,1.86097039340006,441.726353742927,42.006766681944,16.537670283264,3.37101582868786,-3.45120183217799,10.8155238460391,4.77474150114965
1,19,3671.41473997794,78.9667280846584,1.67366054602867,413.043073992975,40.9025341452627,11.6183126731432,2.35841190835169,-7.53651703929769,6.25855766870164,4.87190580636859
1,20,3568.89321191023,77.850109638812,2.07113033419497,485.669820011313,40.6764463434932,13.7573603716065,2.92831700198891,-5.76142835187922,9.00679289015118,4.90022194520939
1,21,3654.39892263502,47.8729853790987,2.51367701452536,529.760611012181,42.4700596392677,12.3646938360698,3.36160743231491,-14.7277620616324,12.9610699910977,4.74502847372946
1,22,3609.83434315584,78.394752338964,2.47612692527091,556.046411097673,44.3362971561673,15.3097539110366,5.47126359158398,-8.0707541564233,11.8007326763658,4.61948136785639
1,23,3679.45411599515,93.8164837790003,2.15981943561977,562.993185955659,46.497886769362,18.3592425153221,4.00912284984399,-5.3878409551804,8.734213729353,4.56890079998035
1,24,3596.66280813284,110.269849351711,2.2332229311553,537.25017008663,46.4059179701633,19.089601570151,6.50943141583711,-5.10205766130191,9.36347356592967,4.6301273256998
1,25,3754.89117818,146.734298473578,2.38300038066898,495.615738532684,44.7351486006514,21.7460558699943,7.6504725735486,-9.4984924482142,13.1460131584031,4.67803441389544
2,1,3252.65373169445,265.187866184075,2.982513256215,722.01028361266,84.5508123368859,30.3343640381818,6.99582938537147,-4.4071551107098,38.2169413896226,4.25889548131973
2,2,3397.89186228567,265.310501715666,3.06905616390327,689.259255275937,82.2407255920284,31.8389735458842,2.32509914033999,-4.15353393376804,37.2643385421339,4.30247749935937
2,3,3500.14464625342,264.927252087898,3.30298793234868,657.252998121663,81.6592138524733,33.0320050515983,1.49765651946921,-4.46635029643392,38.9833551005169,4.31387466178067
2,4,3566.00038261968,252.148101899865,3.31734844700086,728.303502778634,83.0815873557307,33.4305233933136,3.85502466947989,-7.64042026631125,40.6733701863809,4.27652110257439
2,5,3614.78275089911,236.894385245032,3.24528543261696,756.724204516053,83.535033593187,33.2603867337607,3.35387964094542,-8.37243402984334,40.9583296669894,4.25064143122345
2,6,3562.06179362834,218.030624773387,3.31772060058987,617.350161506352,82.9076877886909,31.1604535764471,1.46137157507483,-5.19138057545243,39.459479158074,4.25640170430576
2,7,3615.8001866872,263.05979668845,3.39935517107951,575.03613710863,83.7215002635166,35.1230187511717,1.0455421944383,-10.2546417828587,39.95366381499,4.20641548604998
2,8,3676.73975888251,244.555664935318,3.23862566940349,634.491131062541,84.0235246943903,34.5311948544024,0.878322807833128,-12.0642132224624,44.2183114500858,4.11663063686876
2,9,3727.4487060367,222.565133564663,2.95705307108931,649.666241137307,83.0436809921223,33.7335349186417,0.376364303274759,-12.5022081814911,41.8738561369518,4.06084789622747
2,10,3867.18523275984,218.206833606804,2.87462315732318,546.05505288589,80.8472661498925,31.2539306896413,0.109635454687185,-11.2584473984345,36.0271057438573,4.09787375521437
